id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,pengeluaran_per_kapita,satuan,tahun
224,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,9261,RIBU RUPIAH,2022
225,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,11694,RIBU RUPIAH,2022
226,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,4523,RIBU RUPIAH,2022
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,12167,RIBU RUPIAH,2022
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,5505,RIBU RUPIAH,2022
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,14473,RIBU RUPIAH,2022
230,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,6477,RIBU RUPIAH,2022
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,14226,RIBU RUPIAH,2022
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,6777,RIBU RUPIAH,2022
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,16240,RIBU RUPIAH,2022
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,5667,RIBU RUPIAH,2022
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,14423,RIBU RUPIAH,2022
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,6509,RIBU RUPIAH,2022
237,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,14161,RIBU RUPIAH,2022
238,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,10260,RIBU RUPIAH,2022
239,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,15003,RIBU RUPIAH,2022
240,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,7465,RIBU RUPIAH,2022
